frame,meters
500,0.00
1000,0.05
1500,0.06
2000,0.29
2500,0.47
3000,0.65
3500,1.29
4000,2.05
4500,2.58
5000,3.67
5500,3.91
6000,4.18
6500,4.71
7000,5.55
7500,5.78
8000,6.35
8500,7.47
9000,7.92
9500,8.08
10000,8.86
10500,9.50
11000,9.64
11500,9.67
12000,10.77
12500,10.81
13000,11.19
13500,11.45
14000,11.76
14500,12.28
15000,12.28
15500,12.28
16000,12.53
16500,12.73
17000,13.51
17500,13.74
18000,14.00
18500,14.01
19000,14.14
19500,14.52
20000,14.72
20500,14.76
21000,15.04
21500,15.04
22000,15.32
22500,15.32
23000,15.57
23500,15.61
24000,15.83
24500,15.83
25000,15.83
